,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
244,8.20,7.25,7.75,8,4.75,,,,6,N1,02,20.50,,24.00,21.00,,21.50,22.00
245,8,8.25,,,,8.25,8.25,9.25,8.60,N1,02,,25.80,,,24.80,24.90,
246,8.40,7.50,6.50,7.25,8,,,,7.20,N1,02,21.80,,22.20,23.70,,23.10,22.10
247,8.80,5.25,7,5,4.75,,,,9,N1,02,16.80,,20.80,18.60,,23.10,24.80
248,9,6,7.25,7.50,6.25,,,,7,N1,02,21.00,,23.80,22.80,,22.00,23.30
249,5.40,6.25,,,,7.50,7.50,9,9.40,N1,02,,24.00,,,21.30,21.10,
250,7.40,6.50,4.75,5.75,5,,,,9.20,N1,02,15.50,,17.90,18.20,,23.10,21.40
251,8,6.75,6.50,5.50,6.25,,,,9.80,N1,02,18.30,,20.00,19.80,,24.60,24.30
252,8,5.75,6.25,5.25,5.75,,,,10,N1,02,17.30,,19.50,19.00,,23.80,24.30
253,7.80,5.75,6.75,7,4.25,,,,7.60,N1,02,18.00,,21.60,19.10,,21.20,22.20
254,7.80,5.50,7,7,4.75,,,,8,N1,02,18.80,,21.80,19.60,,21.30,22.80
255,9,7.50,7.75,7.75,5.50,,,,9,N1,02,21.00,,24.50,22.30,,25.50,25.80
256,5.80,7,,,,6.25,7.75,8,9,N1,02,,22.00,,,21.00,21.80,
257,8.40,7.50,6,7,5.25,,,,9.20,N1,02,18.30,,21.40,20.70,,25.10,23.60
258,8.20,5.91,5.75,7.25,4.75,,,,9,N1,02,17.80,,21.20,20.20,,23.10,23.00
259,7.80,7.25,6.50,5,5,,,,9,N1,02,16.50,,19.30,17.80,,24.10,23.30
260,8,8,,,,5.75,7.25,8.75,9.60,N1,02,,21.80,,,21.00,25.60,
261,7.40,7.25,6.50,7.75,4,,,,7.60,N1,02,18.30,,21.70,19.20,,22.30,21.50
262,4.20,4.50,5,3.75,2,,,,8.20,N1,02,10.80,,13.00,10.00,,16.90,17.40
263,7.60,5.50,4.75,6.75,6.25,,,,9.60,N1,02,17.80,,19.10,20.60,,22.70,22.00
264,8.40,8,7.75,7,5.25,,,,8.60,N1,02,20.00,,23.20,20.70,,25.00,24.80
265,8,6.25,6.50,5,5.50,,,,7.20,N1,02,17.00,,19.50,18.50,,21.50,21.70
266,7,7.25,7.75,8,7.25,,,,6.40,N1,02,23.00,,22.80,22.30,,20.70,21.20
